+0000000600.00;A003;C00015;+0000001000.00;2008-01-08;SOD;+200100.
+0000000500.00;A010;C00019;+0000003000.00;2008-04-15;SOD;+200110.
+0000000900.00;A010;C00007;+0000004500.00;2008-08-30;SOD;+200107.
+0000000400.00;A007;C00016;+0000002000.00;2008-05-30;SOD;+200112.
+0000000600.00;A002;C00022;+0000004000.00;2008-06-10;SOD;+200113.
+0000000300.00;A012;C00012;+0000002000.00;2008-05-25;SOD;+200102.
+0000002000.00;A008;C00002;+0000003500.00;2008-08-15;SOD;+200114.
+0000000400.00;A004;C00003;+0000002500.00;2008-09-16;SOD;+200122.
+0000000100.00;A006;C00023;+0000000500.00;2008-07-20;SOD;+200118.
+0000000700.00;A010;C00007;+0000004000.00;2008-09-16;SOD;+200119.
+0000000600.00;A004;C00008;+0000001500.00;2008-09-23;SOD;+200121.
+0000000400.00;A011;C00025;+0000002500.00;2008-07-30;SOD;+200130.
+0000001800.00;A005;C00004;+0000004200.00;2008-09-25;SOD;+200134.
+0000001200.00;A013;C00013;+0000002000.00;2008-02-08;SOD;+200115.
+0000000600.00;A004;C00008;+0000004000.00;2008-02-15;SOD;+200108.
+0000000700.00;A005;C00021;+0000001500.00;2008-05-15;SOD;+200103.
+0000000500.00;A011;C00025;+0000002500.00;2008-07-18;SOD;+200105.
+0000000800.00;A010;C00011;+0000003500.00;2008-07-30;SOD;+200109.
+0000001000.00;A008;C00001;+0000003000.00;2008-07-15;SOD;+200101.
+0000000300.00;A008;C00020;+0000001000.00;2008-07-10;SOD;+200111.
+0000000500.00;A004;C00006;+0000001500.00;2008-03-13;SOD;+200104.
+0000000700.00;A002;C00005;+0000002500.00;2008-04-20;SOD;+200106.
+0000000600.00;A005;C00018;+0000002000.00;2008-10-10;SOD;+200125.
+0000000200.00;A001;C00014;+0000000800.00;2008-10-20;SOD;+200117.
+0000000100.00;A002;C00022;+0000000500.00;2008-09-16;SOD;+200123.
+0000000100.00;A002;C00009;+0000000500.00;2008-07-20;SOD;+200120.
+0000000100.00;A009;C00010;+0000000500.00;2008-07-13;SOD;+200116.
+0000000100.00;A007;C00017;+0000000500.00;2008-06-20;SOD;+200124.
+0000000100.00;A002;C00022;+0000000500.00;2008-06-24;SOD;+200126.
+0000000500.00;A006;C00024;+0000002500.00;2008-07-20;SOD;+200129.
+0000000400.00;A003;C00015;+0000002500.00;2008-07-20;SOD;+200127.
+0000001500.00;A002;C00009;+0000003500.00;2008-07-20;SOD;+200128.
+0000000800.00;A010;C00007;+0000002000.00;2008-09-16;SOD;+200135.
+0000000150.00;A012;C00012;+0000000900.00;2008-08-26;SOD;+200131.
+0000000400.00;A002;C00009;+0000001200.00;2008-06-29;SOD;+200133.
+0000002000.00;A013;C00013;+0000004000.00;2008-08-15;SOD;+200132.
